paper_id,Title,Authors,Keyword,Abstract,Date,Field,Citations, 
1,CenterSnap SingleShot MultiObject 3D Shape Reconstruction and Categorical 6D Pose and Size Estimation,Muhammad Zubair Irshad Thomas Kollar Michael Laskey Kevin Stone Zsolt Kira,Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG); Robotics (cs.RO),"  This paper studies the complex task of simultaneous multi-object 3Dreconstruction, 6D pose and size estimation from a single-view RGB-Dobservation. In contrast to instance-level pose estimation, we focus on a morechallenging problem where CAD models are not available at inference time.Existing approaches mainly follow a complex multi-stage pipeline which firstlocalizes and detects each object instance in the image and then regresses toeither their 3D meshes or 6D poses. These approaches suffer fromhigh-computational cost and low performance in complex multi-object scenarios,where occlusions can be present. Hence, we present a simple one-stage approachto predict both the 3D shape and estimate the 6D pose and size jointly in abounding-box free manner. In particular, our method treats object instances asspatial centers where each center denotes the complete shape of an object alongwith its 6D pose and size. Through this per-pixel representation, our approachcan reconstruct in real-time (40 FPS) multiple novel object instances andpredict their 6D pose and sizes in a single-forward pass. Through extensiveexperiments, we demonstrate that our approach significantly outperforms allshape completion and categorical 6D pose and size estimation baselines onmulti-object ShapeNet and NOCS datasets respectively with a 12.6% absoluteimprovement in mAP for 6D pose for novel real-world object instances.    ",2022/03/03,Computer Vision,65,
2,Recovering 3D Human Mesh from Monocular Images A Survey,Yating Tian Hongwen Zhang Yebin Liu Limin Wang,Computer Vision and Pattern Recognition (cs.CV); Graphics (cs.GR),"  Estimating human pose and shape from monocular images is a long-standingproblem in computer vision. Since the release of statistical body models, 3Dhuman mesh recovery has been drawing broader attention. With the same goal ofobtaining well-aligned and physically plausible mesh results, two paradigmshave been developed to overcome challenges in the 2D-to-3D lifting process: i)an optimization-based paradigm, where different data terms and regularizationterms are exploited as optimization objectives; and ii) a regression-basedparadigm, where deep learning techniques are embraced to solve the problem inan end-to-end fashion. Meanwhile, continuous efforts are devoted to improvingthe quality of 3D mesh labels for a wide range of datasets. Though remarkableprogress has been achieved in the past decade, the task is still challengingdue to flexible body motions, diverse appearances, complex environments, andinsufficient in-the-wild annotations. To the best of our knowledge, this is thefirst survey to focus on the task of monocular 3D human mesh recovery. We startwith the introduction of body models, and then introduce recovery frameworksand training objectives by providing in-depth analyses of their strengths andweaknesses. We also summarize datasets, evaluation metrics, and benchmarkresults. Open issues and future directions are discussed in the end, hoping tomotivate researchers and facilitate their research in this area. A regularlyupdated project page can be found at this https URL.    ",2022/03/03,Computer Vision,54,
3,VisionLanguage Intelligence Tasks Representation Learning and Large Models,Feng Li Hao Zhang YiFan Zhang Shilong Liu Jian Guo Lionel M Ni PengChuan Zhang Lei Zhang,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Computation and Language (cs.CL),"  This paper presents a comprehensive survey of vision-language (VL)intelligence from the perspective of time. This survey is inspired by theremarkable progress in both computer vision and natural language processing,and recent trends shifting from single modality processing to multiple modalitycomprehension. We summarize the development in this field into three timeperiods, namely task-specific methods, vision-language pre-training (VLP)methods, and larger models empowered by large-scale weakly-labeled data. Wefirst take some common VL tasks as examples to introduce the development oftask-specific methods. Then we focus on VLP methods and comprehensively reviewkey components of the model structures and training methods. After that, weshow how recent work utilizes large-scale raw image-text data to learnlanguage-aligned visual representations that generalize better on zero or fewshot learning tasks. Finally, we discuss some potential future trends towardsmodality cooperation, unified representation, and knowledge incorporation. Webelieve that this review will be of help for researchers and practitioners ofAI and ML, especially those interested in computer vision and natural languageprocessing.    ",2022/03/03,Computer Vision,12,
4,Playable Environments Video Manipulation in Space and Time,Willi Menapace Aliaksandr Siarohin Christian Theobalt Vladislav Golyanik Sergey Tulyakov Stéphane Lathuilière Elisa Ricci,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI),"  We present Playable Environments - a new representation for interactive videogeneration and manipulation in space and time. With a single image at inferencetime, our novel framework allows the user to move objects in 3D whilegenerating a video by providing a sequence of desired actions. The actions arelearnt in an unsupervised manner. The camera can be controlled to get thedesired viewpoint. Our method builds an environment state for each frame, whichcan be manipulated by our proposed action module and decoded back to the imagespace with volumetric rendering. To support diverse appearances of objects, weextend neural radiance fields with style-based modulation. Our method trains ona collection of various monocular videos requiring only the estimated cameraparameters and 2D object locations. To set a challenging benchmark, weintroduce two large scale video datasets with significant camera movements. Asevidenced by our experiments, playable environments enable several creativeapplications not attainable by prior video synthesis works, including playable3D video generation, stylization and manipulation. Further details, code andexamples are available atthis https URL",2022/03/03,Computer Vision,72,
5,Instance Segmentation for Autonomous Log Grasping in Forestry Operations,JeanMichel Fortin Olivier Gamache Vincent Grondin François Pomerleau Philippe Giguère,Computer Vision and Pattern Recognition (cs.CV); Robotics (cs.RO),"  Wood logs picking is a challenging task to automate. Indeed, logs usuallycome in cluttered configurations, randomly orientated and overlapping. Recentwork on log picking automation usually assume that the logs' pose is known,with little consideration given to the actual perception problem. In thispaper, we squarely address the latter, using a data-driven approach. First, weintroduce a novel dataset, named TimberSeg 1.0, that is densely annotated,i.e., that includes both bounding boxes and pixel-level mask annotations forlogs. This dataset comprises 220 images with 2500 individually segmented logs.Using our dataset, we then compare three neural network architectures on thetask of individual logs detection and segmentation; two region-based methodsand one attention-based method. Unsurprisingly, our results show thataxis-aligned proposals, failing to take into account the directional nature oflogs, underperform with 19.03 mAP. A rotation-aware proposal methodsignificantly improve results to 31.83 mAP. More interestingly, aTransformer-based approach, without any inductive bias on rotations,outperformed the two others, achieving a mAP of 57.53 on our dataset. Our usecase demonstrates the limitations of region-based approaches for cluttered,elongated objects. It also highlights the potential of attention-based methodson this specific task, as they work directly at the pixel-level. Theseencouraging results indicate that such a perception system could be used toassist the operators on the short-term, or to fully automate log pickingoperations in the future.    ",2022/03/03,Computer Vision,92,
6,TCTrack Temporal Contexts for Aerial Tracking,Ziang Cao Ziyuan Huang Liang Pan Shiwei Zhang Ziwei Liu Changhong Fu,Computer Vision and Pattern Recognition (cs.CV),"  Temporal contexts among consecutive frames are far from been fully utilizedin existing visual trackers. In this work, we present TCTrack, a comprehensiveframework to fully exploit temporal contexts for aerial tracking. The temporalcontexts are incorporated at \textbf{two levels}: the extraction of\textbf{features} and the refinement of \textbf{similarity maps}. Specifically,for feature extraction, an online temporally adaptive convolution is proposedto enhance the spatial features using temporal information, which is achievedby dynamically calibrating the convolution weights according to the previousframes. For similarity map refinement, we propose an adaptive temporaltransformer, which first effectively encodes temporal knowledge in amemory-efficient way, before the temporal knowledge is decoded for accurateadjustment of the similarity map. TCTrack is effective and efficient:evaluation on four aerial tracking benchmarks shows its impressive performance;real-world UAV tests show its high speed of over 27 FPS on NVIDIA Jetson AGXXavier.    ",2022/03/03,Computer Vision,126,
7,LatentFormer MultiAgent TransformerBased Interaction Modeling and Trajectory Prediction,Elmira Amirloo Amir Rasouli Peter Lakner Mohsen Rohani Jun Luo,Computer Vision and Pattern Recognition (cs.CV),"  Multi-agent trajectory prediction is a fundamental problem in autonomousdriving. The key challenges in prediction are accurately anticipating thebehavior of surrounding agents and understanding the scene context. To addressthese problems, we propose LatentFormer, a transformer-based model forpredicting future vehicle trajectories. The proposed method leverages a noveltechnique for modeling interactions among dynamic objects in the scene.Contrary to many existing approaches which model cross-agent interactionsduring the observation time, our method additionally exploits the future statesof the agents. This is accomplished using a hierarchical attention mechanismwhere the evolving states of the agents autoregressively control thecontributions of past trajectories and scene encodings in the final prediction.Furthermore, we propose a multi-resolution map encoding scheme that relies on avision transformer module to effectively capture both local and global scenecontext to guide the generation of more admissible future trajectories. Weevaluate the proposed method on the nuScenes benchmark dataset and show thatour approach achieves state-of-the-art performance and improves upon trajectorymetrics by up to 40%. We further investigate the contributions of variouscomponents of the proposed technique via extensive ablation studies.    ",2022/03/03,Computer Vision,138,
8,A study on the distribution of social biases in selfsupervised learning visual models,Kirill Sirotkin Pablo Carballeira Marcos EscuderoViñolo,Computer Vision and Pattern Recognition (cs.CV),"  Deep neural networks are efficient at learning the data distribution if it issufficiently sampled. However, they can be strongly biased by non-relevantfactors implicitly incorporated in the training data. These include operationalbiases, such as ineffective or uneven data sampling, but also ethical concerns,as the social biases are implicitly present\textemdash even inadvertently, inthe training data or explicitly defined in unfair training schedules. In taskshaving impact on human processes, the learning of social biases may producediscriminatory, unethical and untrustworthy consequences. It is often assumedthat social biases stem from supervised learning on labelled data, and thus,Self-Supervised Learning (SSL) wrongly appears as an efficient and bias-freesolution, as it does not require labelled data. However, it was recently proventhat a popular SSL method also incorporates biases. In this paper, we study thebiases of a varied set of SSL visual models, trained using ImageNet data, usinga method and dataset designed by psychological experts to measure socialbiases. We show that there is a correlation between the type of the SSL modeland the number of biases that it incorporates. Furthermore, the results alsosuggest that this number does not strictly depend on the model's accuracy andchanges throughout the network. Finally, we conclude that a careful SSL modelselection process can reduce the number of social biases in the deployed model,whilst keeping high performance.    ",2022/03/03,Computer Vision,19,
9,Efficient Video Instance Segmentation via Tracklet Query and Proposal,Jialian Wu Sudhir Yarram Hui Liang Tian Lan Junsong Yuan Jayan Eledath Gerard Medioni,Computer Vision and Pattern Recognition (cs.CV),"  Video Instance Segmentation (VIS) aims to simultaneously classify, segment,and track multiple object instances in videos. Recent clip-level VIS takes ashort video clip as input each time showing stronger performance thanframe-level VIS (tracking-by-segmentation), as more temporal context frommultiple frames is utilized. Yet, most clip-level methods are neitherend-to-end learnable nor real-time. These limitations are addressed by therecent VIS transformer (VisTR) which performs VIS end-to-end within a clip.However, VisTR suffers from long training time due to its frame-wise denseattention. In addition, VisTR is not fully end-to-end learnable in multiplevideo clips as it requires a hand-crafted data association to link instancetracklets between successive clips. This paper proposes EfficientVIS, a fullyend-to-end framework with efficient training and inference. At the core aretracklet query and tracklet proposal that associate and segmentregions-of-interest (RoIs) across space and time by an iterative query-videointeraction. We further propose a correspondence learning that makes trackletslinking between clips end-to-end learnable. Compared to VisTR, EfficientVISrequires 15x fewer training epochs while achieving state-of-the-art accuracy onthe YouTube-VIS benchmark. Meanwhile, our method enables whole video instancesegmentation in a single end-to-end pass without data association at all.    ",2022/03/03,Computer Vision,78,
10,STUN SelfTeaching Uncertainty Estimation for Place Recognition,Kaiwen Cai Chris Xiaoxuan Lu Xiaowei Huang,Computer Vision and Pattern Recognition (cs.CV); Robotics (cs.RO),"  Place recognition is key to Simultaneous Localization and Mapping (SLAM) andspatial perception. However, a place recognition in the wild often suffers fromerroneous predictions due to image variations, e.g., changing viewpoints andstreet appearance. Integrating uncertainty estimation into the life cycle ofplace recognition is a promising method to mitigate the impact of variations onplace recognition performance. However, existing uncertainty estimationapproaches in this vein are either computationally inefficient (e.g., MonteCarlo dropout) or at the cost of dropped accuracy. This paper proposes STUN, aself-teaching framework that learns to simultaneously predict the place andestimate the prediction uncertainty given an input image. To this end, we firsttrain a teacher net using a standard metric learning pipeline to produceembedding priors. Then, supervised by the pretrained teacher net, a student netwith an additional variance branch is trained to finetune the embedding priorsand estimate the uncertainty sample by sample. During the online inferencephase, we only use the student net to generate a place prediction inconjunction with the uncertainty. When compared with place recognition systemsthat are ignorant to the uncertainty, our framework features the uncertaintyestimation for free without sacrificing any prediction accuracy. Ourexperimental results on the large-scale Pittsburgh30k dataset demonstrate thatSTUN outperforms the state-of-the-art methods in both recognition accuracy andthe quality of uncertainty estimation.    ",2022/03/03,Computer Vision,95,
